time,hour,weekday,dayofyear,week,is_class,q_num,is_holiday,leq,is_weekend
2019-02-06 16:00:00,16,2,37,6,1,64,0,53.99202744084131,0
2019-02-06 16:15:00,16,2,37,6,1,65,0,49.79055937591586,0
2019-02-06 16:30:00,16,2,37,6,1,66,0,48.71653558602691,0
2019-02-06 16:45:00,16,2,37,6,1,67,0,50.57560862073659,0
2019-02-06 17:00:00,17,2,37,6,0,68,0,48.58992648137621,0
2019-02-06 17:15:00,17,2,37,6,0,69,0,46.657782986995294,0
2019-02-06 17:30:00,17,2,37,6,0,70,0,46.917066084173,0
2019-02-06 17:45:00,17,2,37,6,0,71,0,48.65130543107846,0
2019-02-06 18:00:00,18,2,37,6,0,72,0,48.95550515920903,0
2019-02-06 18:15:00,18,2,37,6,0,73,0,46.89387104549146,0
2019-02-06 18:30:00,18,2,37,6,0,74,0,46.76883095553575,0
2019-02-06 18:45:00,18,2,37,6,0,75,0,45.94160977212346,0
2019-02-06 19:00:00,19,2,37,6,0,76,0,47.29638198329234,0
2019-02-06 19:15:00,19,2,37,6,0,77,0,46.178850510558604,0
2019-02-06 19:30:00,19,2,37,6,0,78,0,45.761966329698964,0
2019-02-06 19:45:00,19,2,37,6,0,79,0,44.77954682841651,0
2019-02-06 20:00:00,20,2,37,6,0,80,0,44.47899980787738,0
2019-02-06 20:15:00,20,2,37,6,0,81,0,45.136556463444,0
2019-02-06 20:30:00,20,2,37,6,0,82,0,45.08748246616892,0
2019-02-06 20:45:00,20,2,37,6,0,83,0,45.626172078139156,0
2019-02-06 21:00:00,21,2,37,6,0,84,0,44.61548782986237,0
2019-02-06 21:15:00,21,2,37,6,0,85,0,44.009193322611246,0
2019-02-06 21:30:00,21,2,37,6,0,86,0,43.10634820511589,0
2019-02-06 21:45:00,21,2,37,6,0,87,0,43.5159415960413,0
2019-02-06 22:00:00,22,2,37,6,0,88,0,43.335246393694476,0
2019-02-06 22:15:00,22,2,37,6,0,89,0,44.794944955711486,0
2019-02-06 22:30:00,22,2,37,6,0,90,0,44.72625468444744,0
2019-02-06 22:45:00,22,2,37,6,0,91,0,43.71088356399395,0
2019-02-06 23:00:00,23,2,37,6,0,92,0,43.09178715807754,0
2019-02-06 23:15:00,23,2,37,6,0,93,0,43.03955570339068,0
2019-02-06 23:30:00,23,2,37,6,0,94,0,42.95395870444173,0
2019-02-06 23:45:00,23,2,37,6,0,95,0,44.47325369960824,0
2019-02-07 00:00:00,0,3,38,6,0,0,0,45.10828722971765,0
2019-02-07 00:15:00,0,3,38,6,0,1,0,44.631352722602216,0
2019-02-07 00:30:00,0,3,38,6,0,2,0,43.53816456625837,0
2019-02-07 00:45:00,0,3,38,6,0,3,0,43.456820723054584,0
2019-02-07 01:00:00,1,3,38,6,0,4,0,43.81859371149644,0
2019-02-07 01:15:00,1,3,38,6,0,5,0,44.17077552895189,0
2019-02-07 01:30:00,1,3,38,6,0,6,0,44.914047467489866,0
2019-02-07 01:45:00,1,3,38,6,0,7,0,45.15453052482716,0
2019-02-07 02:00:00,2,3,38,6,0,8,0,44.02379453935624,0
